CU Number,Status,Type,Type Description,Description 1,Description 2,Creation Date,Modified Date
SET172-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,COMPLETE ARRANGEMENT FOR CONCRETE POLE,SET172-4,16/12/2016,16/12/2016
SET2-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,THREE PHASE BRACKET TO WOOD POLE,SET2-1,3/01/1995,8/07/2011
SET2-1C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,THREE PHASE FUSE BRACKET TO CONC POLE,SET2-1C,15/02/1995,15/02/1995
SET2-1CU,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SERVICE 'J' HOOK COMBINATION,SET2-1CU,3/01/1995,23/11/2015
SET2-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SERVICE REEL TO POLE,SET2-2,24/09/1988,23/11/2015
SET2-2C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SERVICE REEL TO CONCRETE POLE,SET2-2C,16/03/1990,23/11/2015
SET2-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,CABLE COVER TO X-ARM,SET2-4,25/07/1989,22/04/2020
SET248-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT - ON TFMR BKT FOR METRO CONC POLE,SET248-1,8/01/2001,23/11/2015
SET248-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,HANGER BKT CONV FOR BOLT - ON TFMR,SET248-2,8/01/2001,23/11/2015
SET249-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO X-ARM (STEEL) TO WOOD POLE,SET249-1,23/06/1999,23/11/2015
SET249-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO X-ARM (STEEL) TO CONC POLE,SET249-2,13/09/1994,23/11/2015
SET249-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV PIN TO POLE,SET249-3,7/02/2002,23/11/2015
SET250-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT ON PT BRKT TO WOOD POLE 63-315kVA,SET250-1,23/06/1999,23/11/2015
SET250-12,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT ON PT BRKT TO WOOD POLE 25kVA,SET250-12,9/03/2011,23/11/2015
SET250-15,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT ON PT BRKT TO WP 500KVA + HT BOLTS,SET250-15,23/06/1999,23/11/2015
SET250-1C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT ON PT BRKT TO CONC POLE,SET250-1C,18/04/1994,23/11/2015
SET250-1C5,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT ON PT BRKT TO CONC POLE 500KVA TFMR,SET250-1C5,8/06/1999,26/09/2022
SET251-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT MOUNTED TRANSF'R-ROUND TANK,SET251-1,23/06/1999,23/11/2015
SET251-1C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT MOUNTED TRANSF'R - ROUND TANK,SET251-1C,23/06/1999,23/11/2015
SET251-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOLT MOUNTED TRANSF'R -RECT. TANK,SET251-2,23/06/1999,23/11/2015
SET252-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,HANGER TRANSFORMER,SET252-1,23/06/1999,23/11/2015
SET252-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SURGE ARRESTER & BRACKET,SET252-2,1/06/1999,23/11/2015
SET253-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV AIR BREAK SWITCH TO X-ARMS,SET253-1,18/10/1995,23/11/2015
SET253-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,'T'BRACKETS TO POLE,SET253-2,23/06/1999,23/06/1999
SET253-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,X-ARM TO 'T' BRACKETS,SET253-3,20/10/1995,20/10/1995
SET254-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO 12/24KV TO  XARM,SET254-1,1/02/1996,23/11/2015
SET254-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO SWITCH-24KV-WOOD XARM,SET254-2,1/02/1996,23/11/2015
SET254-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO SWITCH-12KV-STEEL XARM,SET254-3,18/04/1994,23/11/2015
SET254-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO SWITCH-24KV-STEEL XARM,SET254-4,18/04/1994,23/11/2015
SET254-5,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SPARKLESS DO 12/24KV TO  XARM,SET254-5,8/07/2010,23/11/2015
SET255-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV REGULATOR BRACKET TO POLE,SET255-1,23/06/1999,23/11/2015
SET255-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,REGULATOR CONTROL BOX BRACKET TO POLE,SET255-2,23/06/1999,23/11/2015
SET255-2C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,REGULATOR CONTROL BOX BRACKET TO POLE,SET255-2C,23/06/1999,23/11/2015
SET256-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NGK PT FULLY FITTED LBS - BKT-POLE,SET256-1,2/08/2011,23/11/2015
SET256-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NGK MP FULLY FITTED LBS - BKT-POLE,SET256-2,2/08/2011,23/11/2015
SET257-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SURGE ARRESTER TO X-ARM,SET257-1,19/09/1994,23/11/2015
SET257-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"RECLOSER, LOADBREAK SWITCH TO POLE",SET257-2,23/06/1999,23/11/2015
SET257-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ARRESTER BRACKET TO X-ARM INSULATOR STUD,SET257-3,12/03/2012,23/11/2015
SET257-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ARRESTER BRACKET TO X-ARM,SET257-4,16/02/2012,23/11/2015
SET258-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV TWIN BRIDGING PINS TO X-ARM,SET258-1,22/06/1989,23/11/2015
SET258-11,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV TWIN BRIDGING PINS TO COMP. X-ARM,SET258-11,24/09/2010,23/11/2015
SET258-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV UNITISED ABS TO POLE,SET258-2,19/07/1995,23/11/2015
SET258-2C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV UNITISED A.B.S. TO CONCRETE POLE,SET258-2C,23/06/1999,23/11/2015
SET258-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,33KV SUSP'N ANGLE TO X-ARM (LARGE),SET258-3,17/08/1989,23/11/2015
SET258-31,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,33KV SUSP'N ANGLE TO COMP X-ARM (LARGE),SET258-31,22/12/2015,22/12/2015
SET258-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV UNITISED MIDPOLE ABS TO WOOD POLE,SET258-4,19/07/1995,23/11/2015
SET259-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV EDO (GANGED) TO POLE,SET259-1,23/06/1999,23/11/2015
SET259-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV METERING UNIT TO POLE,SET259-2,23/06/1999,23/06/1999
SET260-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,CONTROL BOX BRACKET TO POLE,SET260-1,23/06/1999,24/06/2013
SET260-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NULEC CTRL BOX TO POLE,SET260-2,23/06/1999,23/09/2011
SET261-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW SUSPENSION,SET261-1,24/06/1999,23/11/2015
SET261-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW SUSPENSION ANGLE,SET261-2,25/06/1999,23/11/2015
SET261-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW TERMINATION,SET261-3,24/06/1999,23/11/2015
SET261-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW SHACKLE,SET261-4,25/06/1999,23/11/2015
SET262-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW TWIN X-ARM MOUNTING,SET262-1,24/09/1988,23/11/2015
SET262-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,1.5KN MWT EARTHWIRE RISER (STEEL TO POLE,SET262-2,2/12/1997,23/11/2015
SET262-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,EARTHING OF GAIN BASE,SET262-3,1/12/1997,23/11/2015
SET262-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,EARTHING OF EYEBOLT,SET262-4,4/12/1997,23/11/2015
SET263-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW BOND TO RAISER,SET263-1,15/06/2009,23/11/2015
SET263-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,RAISER BOND TO DOWNLEAD,SET263-2,15/06/2009,23/11/2015
SET263-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OPGW BOND TO RAISER,SET263-3,15/06/2009,23/11/2015
SET263-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OPGW BOND TO DOWNLEAD,SET263-4,15/06/2009,23/11/2015
SET264-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OPGW SHACKLE BOND TO DOWNLEAD,SET264-1,15/06/2009,23/11/2015
SET264-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OPEW TWIN TERM SHORT STEEL X-ARM TO POLE,SET264-2,8/01/2015,23/11/2015
SET264-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OPEW TWIN PIN SHORT X-ARM TO POLE,SET264-3,30/05/2016,23/01/2018
SET265-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV MONITORING BRACKET TO WOOD POLE,SET265-1,28/02/2013,31/07/2013
SET265-1C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV MONITORING BRACKET TO CONCRETE POLE,SET265-1C,28/02/2013,31/07/2013
SET265-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV MONITORING BOX TO BRACKET,SET265-2,28/02/2013,2/04/2015
SET265-2A,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ANTENNA FOR LV MONITORING BOX,SET265-2A,25/09/2014,2/04/2015
SET266-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ILJIN PT FULLY FITTED LBS - BKT-POLE,SET266-1,31/12/2013,15/07/2014
SET266-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ILJIN MP FULLY FITTED LBS - BKT-POLE,SET266-2,31/12/2013,31/12/2013
SET269-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,POLE TOP LBS TO N/S CONCRETE POLE,SET269-1,21/07/2016,25/11/2016
SET269-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,MID POLE LBS TO N/S CONCRETE POLE,SET269-2,21/07/2016,25/11/2016
SET270-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LTS/SECT TO POLE,SET270-1,23/06/1999,23/06/1999
SET270-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUNDRY ITEMS NULEC LBS TO POLE,SET270-2,23/06/1999,31/08/2007
SET270-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,MOUNTING BRACKET FOR 11LBSPT,SET270-3,13/10/2010,23/11/2015
SET270-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,MOUNTING BRACKET FOR 11LBSMP,SET270-4,13/10/2010,23/11/2015
SET271-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SURGE ARRESTER (POLYMER) TO BRACKET,SET271-2,1/07/1998,3/10/2002
SET271-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SURGE ARREST (NIL REQMTS) SEE TEXT,SET271-3,14/10/1997,30/09/2003
SET271-3A,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SURGE ARRESTER(POLYMER) TO TANK,SET271-3A,30/09/2003,30/09/2003
SET271-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,33KV SURGE ARRESTER(POLYMER) TO TANK,SET271-4,1/07/1998,27/02/2004
SET272-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11kV SURGE ARRESTERS TO SCHNEIDER LBS,SET272-1,29/01/1997,24/09/2010
SET272-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV SURGE ARRESTER TO  LBS,SET272-2,6/09/2006,3/06/2009
SET272-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,MID PH ARRESTER TO TRIDENT BRACKET,SET272-3,6/09/2006,1/04/2008
SET272-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OUTER PH ARRESTER TO TRIDENT BRACKET,SET272-4,6/09/2006,1/04/2008
SET273-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SURGE ARRESTOR LEAD TO NEUTRAL (1PH TRF),SET273-1,17/11/2003,17/11/2003
SET273-10,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ARRESTER TO BRACKET,SET273-10,16/02/2012,20/05/2021
SET273-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SURGE ARRESTOR LEADS TO NEUTR  (3PH TRF),SET273-2,17/11/2003,17/11/2003
SET273-20,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEUTRAL / EARTH BUS TO XARM,SET273-20,16/02/2012,29/03/2018
SET273-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ARRESTER TO GAIN BASE (REAR MTD),SET273-3,6/09/2006,1/04/2008
SET273-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ARRESTER TO GAIN BASE (FRONT MTD),SET273-4,6/09/2006,1/04/2008
SET274-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,VT TO POLE (NOJA),SET274-1,6/02/2008,24/09/2010
SET274-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ANTENNA TO XARM (EXCL COMMS EQMT),SET274-2,19/06/2009,24/09/2010
SET3-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SERVICE RAISER TO POLE,SET3-1,23/06/1999,23/11/2015
SET3-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV FUSE-SWITCH TO X-ARM-630A,SET3-2,17/01/1997,23/11/2015
SET3-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,SUPPORT HOOK TO CONCRETE POLE,SET3-3,27/06/1994,23/11/2015
SET3-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEUTRAL CONNECTION BOX TO POLE,SET3-4,16/10/1997,16/10/1997
SET300-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,DC INTERMEDIATE STEEL X-ARM TO POLE,SET300-1,28/02/2003,7/08/2003
SET300-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,8KN 3M STEEL X-ARM TO POLE,SET300-2,28/02/2003,6/08/2003
SET300-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,11KV BRIDGING POST TO DC STEEL XARM,SET300-3,6/08/2003,23/11/2015
SET300-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,3.5KN INTERMEDIATE EW RISER TO POLE,SET300-4,18/01/2007,15/06/2009
SET301,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV PIN & INSULATOR ASSY (3-9-1),SET301,24/09/1988,23/11/2015
SET301-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW TERM/SHACKLE RAISER TO POLE,SET301-1,15/06/2009,23/11/2015
SET301-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,OHEW PIN OFFSET RAISER TO POLE,SET301-2,15/06/2009,23/11/2015
SET31,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"FAB GAINBLOCK-1 XARM ASSY CT/S,M,MC",SET31,23/06/1999,23/06/1999
SET32,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,"FAB GAINBLOCK-1 XARM ASSY CS/S,M,MC",SET32,1/11/1993,1/11/1993
SET4-1C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,REEL INSULATOR TO CONCRETE POLE,SET4-1C,23/08/2006,23/01/2012
SET4-2C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,BOW ADAPTER TO CONCRETE POLE,SET4-2C,23/08/2006,4/12/2006
SET4-3C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,U BRACKET TO CONCRETE POLE,SET4-3C,17/10/2006,4/12/2006
SET4-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,YOKE PLATE TO EYEBOLT,SET4-4,4/12/2006,4/12/2006
SET4-4C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,YOKE PLATE TO BOW ADAPTOR,SET4-4C,4/12/2006,4/12/2006
SET41-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,STAY BRACKET TO POLE,SET41-1,19/05/2021,19/05/2021
SET500-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS HOOK BOLT TO WOOD POLE,SET500-1,12/09/2003,23/11/2015
SET500-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. SUSPENSION MED SPAN WP,SET500-2,12/09/2003,23/11/2015
SET500-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. DIELECTRIC SUPPORT TO WOOD POLE,SET500-3,12/09/2003,23/11/2015
SET500-312,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS SUPPORT TO WP 12.6 MM CABLE,SET500-312,28/04/2009,23/11/2015
SET500-313,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS SUPPORT TO WP 13.5 MM CABLE,SET500-313,28/04/2009,23/11/2015
SET500-412,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS SUPPORT TO CP 12.6 MM CABLE,SET500-412,28/04/2009,23/11/2015
SET500-413,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS SUPPORT TO CP 13.5 MM CABLE,SET500-413,28/04/2009,23/11/2015
SET501-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS DOWNLEAD CUSHION TI WOOD POLE,SET501-1,12/09/2003,23/11/2015
SET501-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS DOWNLEAD CUSHION TO CONCRETE POLE,SET501-2,12/09/2003,23/11/2015
SET501-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS SAFETY HOOK TO CONC POLE,SET501-3,12/09/2003,23/11/2015
SET502-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,DIELECTRIC DEADEND,SET502-1,12/09/2003,23/11/2015
SET502-112,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS TERMINATION FOR 12.6MM CABLE WP,SET502-112,28/04/2009,23/11/2015
SET502-113,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS TERMINATION FOR 13.5MM CABLE WP,SET502-113,28/04/2009,23/11/2015
SET502-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,ADSS UG TERM PIT & ACCESSORIES,SET502-2,12/09/2003,13/11/2017
SET502-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,O.F. SUSPENSION (MED SPAN-WOOD POLE),SET502-3,12/09/2003,23/11/2015
SET51-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV SINGLE X-ARM (100X100)TO POLE,SET51-1,23/06/1999,23/11/2015
SET51-1C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV SINGLE X-ARM (100*100) TO CONC POLE,SET51-1C,23/06/1999,23/11/2015
SET51-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V.SINGLE X-ARM(100X150) TO POLE,SET51-2,23/06/1999,23/11/2015
SET51-2C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV SINGLE X-ARM (100X150) TO CONC POLE,SET51-2C,23/06/1999,23/11/2015
SET51-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TWIN X-ARM TO POLE,SET51-3,23/06/1999,23/11/2015
SET51-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. SINGLE X-ARM TO P.T. BRACKET/POLE,SET51-4,23/06/1999,23/11/2015
SET51-5,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TWIN X-ARM TO P.T. BRACKET/POLE,SET51-5,23/06/1999,23/11/2015
SET52-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. X-ARM STABILIZER,SET52-1,24/09/1988,23/11/2015
SET52-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TWIN X-ARM SPACER,SET52-2,24/06/1999,23/11/2015
SET52-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L V X-ARM (100X100) ANTI-SPLIT,SET52-3,24/09/1988,23/11/2015
SET52-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. X-ARM (150X100) ANTI-SPLIT,SET52-4,24/09/1988,23/11/2015
SET53-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV BRACE TO X-ARM (100) & POLE,SET53-1,27/06/1994,23/11/2015
SET53-1C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV BRACE X-ARM & CONCRETE POLE (100),SET53-1C,16/03/1990,23/11/2015
SET53-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV BRACE TO X-ARM (150) & POLE,SET53-2,27/06/1994,23/11/2015
SET53-21,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV BRACE TO X-ARM (125) & POLE,SET53-21,10/10/2012,23/11/2015
SET53-2C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV BRACE TO X-ARM & CONCRETE POLE (150),SET53-2C,16/03/1990,23/11/2015
SET53-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TWIN BRACE TO X-ARM (100) & POLE,SET53-3,27/06/1994,23/11/2015
SET53-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TWIN BRACE TO X-ARM (150) & POLE,SET53-4,27/06/1994,23/11/2015
SET53-4C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV TWIN BRACE TO X-ARM & CONC POLE (150),SET53-4C,16/03/1990,23/11/2015
SET54-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L V PIN TO X-ARM,SET54-1,24/04/1990,23/11/2015
SET54-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV REEL TO X-ARM,SET54-2,24/09/1988,23/11/2015
SET54-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV REEL TO POLE (COACHSCREW),SET54-3,17/12/1993,23/11/2015
SET54-3C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV REEL TO CONCRETE POLE (BOLT ONLY),SET54-3C,16/03/1990,23/11/2015
SET54-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV REEL TO POLE (BOLT & NUT),SET54-4,23/06/1999,23/11/2015
SET55-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. SUSPENSION ANGLE REEL TO X_ARM,SET55-1,19/02/1996,23/11/2015
SET55-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV. UPLIFT REEL TO X-ARM,SET55-2,27/06/1994,23/11/2015
SET55-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. ANGLE REEL TO POLE,SET55-3,25/06/1999,23/11/2015
SET55-3C,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,LV ANGLE REEL TO CONCRETE POLE,SET55-3C,25/06/1999,23/11/2015
SET55-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,NEUTRAL MARKER,SET55-4,27/06/1994,16/12/2022
SET56-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TERMINATION REEL TO 100  X-ARM,SET56-1,11/12/1995,23/11/2015
SET56-11,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TERMINATION REEL TO 125  X-ARM,SET56-11,10/10/2012,23/11/2015
SET56-2,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. SHACKLE REEL TO 100  X-ARM,SET56-2,11/12/1995,23/11/2015
SET56-21,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. SHACKLE REEL TO 125  X-ARM,SET56-21,10/10/2012,23/11/2015
SET56-3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. SHACKLE REEL TO TWIN X-ARM,SET56-3,24/09/1988,23/11/2015
SET56-4,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. TERMINATION REEL TO TWIN X-ARM,SET56-4,24/09/1988,23/11/2015
SET57-1,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,L.V. ISOLATING SWITCH TO X-ARM-600A.,SET57-1,17/01/1997,23/11/2015
SET57-1/3,Active,OH,17000. DISTRIBUTION OH CONSTRUCTION MATERIALS,3 PHASE SET57-1,SET57-1/3,5/12/2000,5/12/2000
